business_name,street_address,city,state,zip_code,phone,website,hours,rating,review_count,categories,source_file
"Tri-Cities Ketamine Infusion and Wellness Clinic - Kennewick, WA",5373 W Canal Dr Suite 120,Kennewick,WA,99336.0,+1 509-637-7730,https://tricitieswellness.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_website_link,"{""Monday"": [""8:30AM-8PM""], ""Tuesday"": [""8AM-8PM""], ""Wednesday"": [""8:30AM-8PM""], ""Thursday"": [""8AM-8PM""], ""Friday"": [""8:30AM-4PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,199,"Wellness center, Alternative medicine practitioner, Medical clinic, Pharmacy, Mental health clinic",Generated by Outscraper ©
Prime IV Hydration & Wellness - Spokane,2630 E 29th Ave,Spokane,WA,99223.0,+1 509-478-1770,https://primeivhydration.com/locations/washington/spokane-wa/,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""10AM-4PM""], ""Sunday"": [""Closed""]}",4.8,95,IV therapy service,Generated by Outscraper ©
Optimized Health IV Bar,513 N Edison St Suite A Room 1,Kennewick,WA,99336.0,+1 509-537-3462,http://www.optimizedhealthivbar.com/,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""9AM-6PM""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""8AM-7PM""], ""Friday"": [""9AM-6PM""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""9AM-6PM""]}",5.0,13,Health spa,Generated by Outscraper ©
Pure Infusion Suites of Tacoma,1818 S Union Ave ste 2b,Tacoma,WA,98405.0,+1 253-393-2700,https://pureinfusionsuites.com/locations/tacoma/,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-12PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,36,Medical Center,Generated by Outscraper ©
"Drip Wellness, PLLC","4008 133rd St. SE. Mill Creek, Washington 98012, Bothell, Suite 115",Mill Creek,WA,98012.0,+1 425-386-9505,https://www.drip-wellness.com/,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",4.9,40,"IV therapy service, Vitamin & supplements store, Wellness center",Generated by Outscraper ©
Prime IV Hydration & Wellness - North Spokane,9992 N Newport Hwy suite 003,Spokane,WA,99218.0,+1 509-309-8011,https://primeivhydration.com/locations/washington/north-spokane-99218/,"{""Monday"": [""Closed""], ""Tuesday"": [""9AM-7PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""9AM-2PM""], ""Sunday"": [""Closed""]}",5.0,88,IV therapy service,Generated by Outscraper ©
Intravene Mobile IV Therapy - Spokane,808 E Sprague Ave,Spokane,WA,99202.0,+1 206-887-0651,https://intravenewellnesstherapies.com/mobile-iv-therapy-spokane/,"{""Monday"": [""8AM-8PM""], ""Tuesday"": [""8AM-8PM""], ""Wednesday"": [""8AM-8PM""], ""Thursday"": [""8AM-8PM""], ""Friday"": [""8AM-8PM""], ""Saturday"": [""8AM-8PM""], ""Sunday"": [""8AM-8PM""]}",5.0,11,IV therapy service,Generated by Outscraper ©
Prime IV Hydration & Wellness - Mill Creek - Gateway,13416 Bothell Everett Hwy Suite 205,Mill Creek,WA,98012.0,+1 425-320-5084,https://primeivhydration.com/locations/washington/mill-creek-98012/,"{""Monday"": [""Closed""], ""Tuesday"": [""10AM-7PM""], ""Wednesday"": [""10AM-7PM""], ""Thursday"": [""10AM-7PM""], ""Friday"": [""10AM-7PM""], ""Saturday"": [""9AM-3PM""], ""Sunday"": [""9AM-3PM""]}",5.0,15,"IV therapy service, Health spa, Medical spa",Generated by Outscraper ©
Prime IV Hydration & Wellness - Kennewick,1360 N Louisiana St suite b,Kennewick,WA,99336.0,+1 509-642-6634,https://primeivhydration.com/locations/washington/kennewick-wa-99336/,"{""Monday"": [""9AM-5:30PM""], ""Tuesday"": [""9AM-5:30PM""], ""Wednesday"": [""9AM-9PM""], ""Thursday"": [""9AM-5:30PM""], ""Friday"": [""9AM-5:30PM""], ""Saturday"": [""9AM-4PM""], ""Sunday"": [""Closed""]}",5.0,30,IV therapy service,Generated by Outscraper ©
Blue IV Hydration and Spa,1446 Spaulding Ave Suite 103,Richland,WA,99352.0,+1 509-820-3951,https://www.blueivhydrationspa.com/,"{""Monday"": [""11AM-6PM""], ""Tuesday"": [""11AM-6PM""], ""Wednesday"": [""11AM-6PM""], ""Thursday"": [""11AM-6PM""], ""Friday"": [""11AM-6PM""], ""Saturday"": [""11AM-6PM""], ""Sunday"": [""Closed""]}",5.0,20,Medical spa,Generated by Outscraper ©
iV Bars,115 River Rd,Edgewater,NJ,7020.0,+1 201-366-4391,http://www.ivbars.com/edgewater,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""10AM-6PM""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""10AM-4PM""], ""Sunday"": [""10AM-4PM""]}",4.8,51,Medical spa,Generated by Outscraper ©
"Olympic Valley Clinic, PLLC",11 Schouweiler Rd,Elma,WA,98541.0,+1 360-482-5300,http://www.olympicvalleyclinic.com/,"{""Monday"": [""8:30AM-5PM""], ""Tuesday"": [""8:30AM-5PM""], ""Wednesday"": [""8:30AM-5PM""], ""Thursday"": [""8:30AM-5PM""], ""Friday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.6,31,Medical clinic,Generated by Outscraper ©
Walla Walla Drip IV,1220 W Poplar St,Walla Walla,WA,99362.0,+1 302-526-0935,http://wallawalladripiv.com/,"{""Monday"": [""3-8PM""], ""Tuesday"": [""12-8PM""], ""Wednesday"": [""9AM-12PM"", ""3:30-8PM""], ""Thursday"": [""3:30-8PM""], ""Friday"": [""3-8PM""], ""Saturday"": [""8AM-5PM""], ""Sunday"": [""8AM-5PM""]}",5.0,46,"IV therapy service, Medical spa",Generated by Outscraper ©
Boost IV,18 Haven Ave,Port Washington,NY,11050.0,+1 680-241-7890,https://www.theivboost.com/,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}",5.0,18,"Medical spa, IV therapy service, Health spa",Generated by Outscraper ©
Northwest Vein & Aesthetic Center of Gig Harbor,4700 Point Fosdick Dr # 307,Gig Harbor,WA,98335.0,+1 253-857-8346,https://www.nwveins.com/locations/tacoma/%3Fy_source%3D1_MTAwMjc4ODE4Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,23,"Medical spa, Day spa, Facial spa, Health spa, Laser hair removal service, Plastic surgeon, Skin care clinic, Vascular surgeon",Generated by Outscraper ©
LifeStance Therapists & Psychiatrists Gig Harbor,5201 Olympic Dr #210,Gig Harbor,WA,98335.0,+1 253-372-8635,https://lifestance.com/location/gig-harbor-wa-5201-olympic-dr/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dlocations,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.7,166,"Mental health clinic, Counselor, Family counselor, Marriage or relationship counselor, Medical clinic, Mental health service, Psychiatrist, Psychologist, Psychotherapist",Generated by Outscraper ©
Peninsula Natural Health Center,5603 38th Ave NW,Gig Harbor,WA,98335.0,+1 253-857-5544,http://peninsulanaturalhealth.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.9,118,"Alternative medicine practitioner, Acupuncturist, Holistic medicine practitioner, Massage therapist",Generated by Outscraper ©
Rejuvenate Wellness & Aesthetics | IV • Hormones • Aesthetics • Massage,"205 Lilly Rd NE Bldg B, Ste B",Olympia,WA,98506.0,+1 360-489-1558,http://rejuvenateolympia.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""9AM-4PM""], ""Sunday"": [""Closed""]}",5.0,266,"Medical spa, Facial spa, Massage therapist, Sauna, Skin care clinic, Waxing hair removal service, Weight loss service, Wellness center",Generated by Outscraper ©
Gig Harbor Medical Spa and Concierge Medicine,11515 Burnham Dr Suite 105,Gig Harbor,WA,98332.0,+1 253-649-3916,https://gigharbormedicalspa.com/,"{""Monday"": [""9AM-4PM""], ""Tuesday"": [""9AM-4PM""], ""Wednesday"": [""9AM-4PM""], ""Thursday"": [""9AM-4PM""], ""Friday"": [""9AM-2PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.9,146,"Medical spa, General practitioner, Health spa, Medical clinic, Medical office, Women's health clinic, Skin care clinic, Weight loss service",Generated by Outscraper ©
Apollo Health,5401 32nd Ave #106,Gig Harbor,WA,98335.0,+1 253-900-2185,https://apollohealthdoc.com/,"{""Monday"": [""9AM-5:30PM""], ""Tuesday"": [""9AM-5:30PM""], ""Wednesday"": [""9AM-5:30PM""], ""Thursday"": [""9AM-5:30PM""], ""Friday"": [""9AM-5:30PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,120,"Medical spa, Medical clinic",Generated by Outscraper ©
Gig Harbor Aesthetics & Wellness,3226 Rosedale St NW Suite 100,Gig Harbor,WA,98335.0,+1 253-514-6766,http://gigharboraesthetics.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,356,"Medical spa, Facial spa, Health spa, Skin care clinic, Women's health clinic, Spa, Weight loss service",Generated by Outscraper ©
Haven Permanent Cosmetics & Aesthetics,5160 Point Fosdick Dr C-100,Gig Harbor,WA,98335.0,+1 253-509-5359,https://havenpmu.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"{""Monday"": [""10AM-5:30PM""], ""Tuesday"": [""9:30AM-4PM""], ""Wednesday"": [""10AM-3PM""], ""Thursday"": [""9:30AM-5PM""], ""Friday"": [""9:30AM-4PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,202,"Medical spa, Beauty salon, Facial spa, Permanent make-up clinic, Skin care clinic, Tattoo removal service, Wellness center",Generated by Outscraper ©
Northwest Integrated Health,3727 S Tacoma Way,Tacoma,WA,98409.0,+1 253-300-7474,https://nwih.com/,"{""Monday"": [""4:30AM-3PM""], ""Tuesday"": [""4:30AM-3PM""], ""Wednesday"": [""4:30AM-3PM""], ""Thursday"": [""4:30AM-3PM""], ""Friday"": [""4:30AM-3PM""], ""Saturday"": [""6:30-10:30AM""], ""Sunday"": [""Closed""]}",4.6,24,"Medical clinic, Mental health clinic",Generated by Outscraper ©
Revive Drip,5800 Soundview Dr Building B Suite 201,Gig Harbor,WA,98335.0,+1 253-858-3800,http://www.mobilerevivedrip.com/,"{""Monday"": [""10AM-4PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""10AM-5PM""], ""Thursday"": [""10AM-4PM""], ""Friday"": [""10AM-4PM""], ""Saturday"": [""10AM-2PM""], ""Sunday"": [""Closed""]}",5.0,163,Home health care service,Generated by Outscraper ©
Nouveau MedSpas,5125 Olympic Dr #108,Gig Harbor,WA,98335.0,+1 253-358-3667,https://www.nouveaumedspas.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle_business_profile,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""9:30AM-5:30PM""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.7,123,"Wellness center, Alternative medicine practitioner, Doctor, Medical group, Medical Center",Generated by Outscraper ©
Empowered Med Spa,1310 S Union Ave a202,Tacoma,WA,98405.0,+1 253-240-4543,http://empoweredmedspa.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-7PM""], ""Wednesday"": [""9AM-7PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-7PM""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""Closed""]}",5.0,69,"Medical spa, Facial spa, Hair replacement service, Laser hair removal service, Women's health clinic, Skin care clinic, Vitamin & supplements store, Weight loss service",Generated by Outscraper ©
Pinnacle Health and Spa,5973 6th Ave,Tacoma,WA,98406.0,+1 253-240-1710,https://pinnaclehealthspa.com/,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""9AM-6PM""], ""Friday"": [""9AM-6PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,35,Medical spa,Generated by Outscraper ©
I IV Hydration & Wellness,1101 S Walton Blvd Suite 5,Bentonville,AR,72712.0,+1 479-995-2552,https://www.iivnwa.com/,"{""Monday"": [""9AM-7PM""], ""Tuesday"": [""9AM-7PM""], ""Wednesday"": [""9AM-7PM""], ""Thursday"": [""9AM-7PM""], ""Friday"": [""9AM-7PM""], ""Saturday"": [""9AM-7PM""], ""Sunday"": [""11AM-5PM""]}",5.0,45,"IV therapy service, Spa and health club, Weight loss service, Wellness center",Generated by Outscraper ©
Northwest Integrated Health,5929 Westgate Blvd Ste A,Tacoma,WA,98406.0,+1 253-503-0226,http://www.nwih.org/,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.5,89,Addiction treatment center,Generated by Outscraper ©
Outbound Wellness,420 Industrial St,Hood River,OR,97031.0,+1 541-399-8887,https://www.outboundwellness.com/,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""9AM-6PM""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""9AM-6PM""], ""Friday"": [""9AM-6PM""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""Closed""]}",5.0,50,Wellness center,Generated by Outscraper ©
Prime IV Hydration & Wellness (East Vancouver-Camas),1821 SE 192nd Ave suite 100,Camas,WA,98607.0,+1 360-818-2629,https://primeivhydration.com/locations/washington/vancouver-wa-98607/,"{""Monday"": [""Closed""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""10AM-6PM""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""10AM-4PM""], ""Sunday"": [""Closed""]}",5.0,73,IV therapy service,Generated by Outscraper ©
Elevate Wellness,502 E Woodin Ave B,Chelan,WA,98816.0,+1 509-970-6974,http://elevatechelan.com/,"{""Monday"": [""5AM-10PM""], ""Tuesday"": [""5AM-10PM""], ""Wednesday"": [""5AM-10PM""], ""Thursday"": [""5AM-10PM""], ""Friday"": [""5AM-10PM""], ""Saturday"": [""5AM-10PM""], ""Sunday"": [""5AM-10PM""]}",5.0,22,"Wellness center, Day spa, Facial spa, Gym, Health and beauty shop, Health resort, IV therapy service, Sauna club, Spa, Waxing hair removal service",Generated by Outscraper ©
IV Elements,36 Newark St. Suite 402,Hoboken,NJ,7030.0,+1 888-611-3747,https://ivelements.net/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_content%3DHoboken,"{""Monday"": [""8AM-8PM""], ""Tuesday"": [""8AM-8PM""], ""Wednesday"": [""8AM-8PM""], ""Thursday"": [""8AM-8PM""], ""Friday"": [""8AM-8PM""], ""Saturday"": [""8AM-8PM""], ""Sunday"": [""8AM-8PM""]}",4.9,491,"Alternative medicine practitioner, Addiction treatment center, Blood testing service, Cancer treatment center, Health spa, Weight loss service, Wellness center",Generated by Outscraper ©
Integrated Wellness & Psychiatry,7808 Pacific Ave #4,Tacoma,WA,98408.0,+1 253-474-3329,https://mytacomaweightloss.com/,"{""Monday"": [""Closed""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""Closed""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""Closed""]}",5.0,94,Medical clinic,Generated by Outscraper ©
Okojie Wellness - IV Infusion Therapy Vancouver Washington,4610 NE 77th Ave Suite 137,Vancouver,WA,98662.0,+1 360-287-4402,https://www.okojiewellness.com/iv-therapy-treatment,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5AM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,142,"Medical spa, Doctor",Generated by Outscraper ©
Thrive Wellbeing,408 E Main St,Battle Ground,WA,98604.0,+1 360-818-4022,https://thriveinfusionsmedspa.com/,"{""Monday"": [""9AM-7PM""], ""Tuesday"": [""9AM-7PM""], ""Wednesday"": [""9AM-7PM""], ""Thursday"": [""9AM-7PM""], ""Friday"": [""9AM-7PM""], ""Saturday"": [""9AM-7PM""], ""Sunday"": [""9AM-7PM""]}",5.0,62,Wellness center,Generated by Outscraper ©
